t,cx,cy
177,6.211261E-001,4.967489E-001
178,6.206920E-001,4.967815E-001
179,6.202771E-001,4.969433E-001
180,6.198955E-001,4.972596E-001
181,6.194976E-001,4.976597E-001
182,6.191041E-001,4.981017E-001
183,6.188132E-001,4.985907E-001
184,6.186624E-001,4.991260E-001
185,6.186030E-001,4.996850E-001
186,6.185655E-001,5.002036E-001
187,6.184712E-001,5.006519E-001
188,6.183027E-001,5.010106E-001
189,6.181623E-001,5.012295E-001
190,6.180993E-001,5.013316E-001
191,6.180869E-001,5.013967E-001
192,6.180400E-001,5.014592E-001
193,6.178982E-001,5.014984E-001
194,6.177061E-001,5.014793E-001
195,6.174885E-001,5.013798E-001
196,6.172260E-001,5.011851E-001
197,6.168943E-001,5.009085E-001
198,6.165459E-001,5.005883E-001
199,6.162526E-001,5.002181E-001
200,6.160763E-001,4.998258E-001
201,6.159097E-001,4.994846E-001
202,6.155194E-001,4.992538E-001
203,6.149401E-001,4.991873E-001
204,6.142835E-001,4.991621E-001
205,6.135968E-001,4.990099E-001
206,6.129431E-001,4.987634E-001
207,6.123811E-001,4.984207E-001
208,6.119130E-001,4.980010E-001
209,6.114334E-001,4.977323E-001
210,6.109157E-001,4.976317E-001
211,6.103970E-001,4.975171E-001
212,6.098391E-001,4.973743E-001
213,6.092302E-001,4.972328E-001
214,6.085989E-001,4.971300E-001
215,6.079917E-001,4.971442E-001
216,6.074311E-001,4.972688E-001
217,6.069974E-001,4.973347E-001
218,6.068983E-001,4.971948E-001
219,6.070599E-001,4.969361E-001
220,6.071791E-001,4.967236E-001
221,6.071699E-001,4.965764E-001
222,6.071492E-001,4.964028E-001
223,6.071662E-001,4.961881E-001
224,6.072117E-001,4.959752E-001
225,6.073801E-001,4.957815E-001
226,6.076675E-001,4.956436E-001
227,6.079983E-001,4.955664E-001
228,6.083400E-001,4.955031E-001
229,6.086701E-001,4.954083E-001
230,6.089789E-001,4.953445E-001
231,6.092095E-001,4.954341E-001
232,6.093152E-001,4.956134E-001
233,6.092707E-001,4.957705E-001
234,6.091075E-001,4.959380E-001
235,6.088968E-001,4.961329E-001
236,6.086942E-001,4.963024E-001
237,6.084821E-001,4.964816E-001
238,6.082261E-001,4.967231E-001
239,6.080222E-001,4.968916E-001
240,6.078808E-001,4.968334E-001
241,6.077416E-001,4.966539E-001
242,6.076571E-001,4.965502E-001
243,6.076513E-001,4.965048E-001
244,6.076600E-001,4.963592E-001
245,6.076202E-001,4.960430E-001
246,6.075191E-001,4.956498E-001
247,6.074167E-001,4.953605E-001
248,6.073954E-001,4.953034E-001
249,6.074295E-001,4.953817E-001
250,6.074447E-001,4.954289E-001
251,6.074217E-001,4.954623E-001
252,6.073858E-001,4.955109E-001
253,6.073838E-001,4.955032E-001
254,6.074321E-001,4.953856E-001
255,6.074436E-001,4.952203E-001
256,6.073187E-001,4.951175E-001
257,6.071548E-001,4.951645E-001
258,6.071193E-001,4.954069E-001
259,6.071816E-001,4.958065E-001
260,6.071914E-001,4.962821E-001
261,6.070716E-001,4.967373E-001
262,6.068681E-001,4.970965E-001
263,6.066592E-001,4.973771E-001
264,6.064558E-001,4.976381E-001
265,6.062774E-001,4.979125E-001
266,6.061623E-001,4.982002E-001
267,6.061117E-001,4.984906E-001
268,6.060498E-001,4.987847E-001
269,6.059315E-001,4.990363E-001
270,6.058229E-001,4.992309E-001
271,6.056898E-001,4.994028E-001
272,6.054099E-001,4.995309E-001
273,6.048701E-001,4.995788E-001
274,6.040767E-001,4.996071E-001
275,6.032363E-001,4.996027E-001
276,6.024927E-001,4.994311E-001
277,6.017820E-001,4.991604E-001
278,6.010906E-001,4.988214E-001
279,6.004832E-001,4.983036E-001
280,5.998526E-001,4.976730E-001
281,5.991501E-001,4.970599E-001
282,5.984453E-001,4.965301E-001
283,5.977308E-001,4.961162E-001
284,5.969767E-001,4.957926E-001
285,5.962040E-001,4.955117E-001
286,5.955719E-001,4.952612E-001
287,5.951390E-001,4.949852E-001
288,5.947716E-001,4.946297E-001
289,5.943892E-001,4.942421E-001
290,5.940399E-001,4.937991E-001
291,5.938053E-001,4.932568E-001
292,5.937586E-001,4.927053E-001
293,5.939059E-001,4.922426E-001
294,5.941766E-001,4.919400E-001
295,5.945584E-001,4.918557E-001
296,5.949462E-001,4.919817E-001
297,5.952300E-001,4.922639E-001
298,5.954776E-001,4.926469E-001
299,5.957295E-001,4.930521E-001
