t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
63,1.000000E+000,1.000000E+000,9.769963E-015,1.430707E+004,3.561581E-009,3.561581E-009
64,1.000000E+000,1.000000E+000,2.398082E-014,1.430707E+004,3.286914E-009,3.286914E-009
65,1.000000E+000,1.000000E+000,1.376677E-014,1.430707E+004,3.374225E-009,3.374225E-009
66,1.000000E+000,1.000000E+000,1.776357E-015,1.430707E+004,3.650712E-009,3.650712E-009
67,1.000000E+000,1.000000E+000,1.199041E-014,1.430707E+004,3.798050E-009,3.798050E-009
68,1.000000E+000,1.000000E+000,2.531308E-014,1.430707E+004,3.694367E-009,3.694367E-009
69,1.000000E+000,1.000000E+000,3.996803E-015,1.430707E+004,3.652531E-009,3.652531E-009
70,1.000000E+000,1.000000E+000,1.598721E-014,1.430707E+004,3.858077E-009,3.858077E-009
71,1.000000E+000,1.000000E+000,0.000000E+000,1.430707E+004,3.909008E-009,3.909008E-009
72,1.000000E+000,1.000000E+000,3.552714E-014,1.430707E+004,3.938112E-009,3.938112E-009
73,1.000000E+000,1.000000E+000,-8.881784E-016,1.430707E+004,3.699824E-009,3.699824E-009
74,1.000000E+000,1.000000E+000,-4.440892E-016,1.430707E+004,3.927198E-009,3.927198E-009
75,1.000000E+000,1.000000E+000,2.620126E-014,1.430707E+004,3.885361E-009,3.885361E-009
76,1.000000E+000,1.000000E+000,1.376677E-014,1.430707E+004,3.950845E-009,3.950845E-009
77,1.000000E+000,1.000000E+000,1.199041E-014,1.430707E+004,4.210960E-009,4.210960E-009
78,1.000000E+000,1.000000E+000,7.993606E-015,1.430707E+004,4.121830E-009,4.121830E-009
79,1.000000E+000,1.000000E+000,2.042810E-014,1.430707E+004,4.201866E-009,4.201866E-009
80,1.000000E+000,1.000000E+000,-7.105427E-015,1.430707E+004,4.316462E-009,4.316462E-009
81,1.000000E+000,1.000000E+000,2.575717E-014,1.430707E+004,4.240064E-009,4.240064E-009
82,1.000000E+000,1.000000E+000,2.575717E-014,1.430707E+004,4.283720E-009,4.283720E-009
83,1.000000E+000,1.000000E+000,5.773160E-015,1.430707E+004,4.329195E-009,4.329195E-009
84,1.000000E+000,1.000000E+000,-7.105427E-015,1.430707E+004,4.449248E-009,4.449248E-009
85,1.000000E+000,1.000000E+000,2.398082E-014,1.430707E+004,4.260073E-009,4.260073E-009
86,1.000000E+000,1.000000E+000,1.865175E-014,1.430707E+004,4.583853E-009,4.583853E-009
87,1.000000E+000,1.000000E+000,2.087219E-014,1.430707E+004,4.409230E-009,4.409230E-009
