t,norm_err,energy_err,energy
122,7.287504E-013,6.593837E-009,1.430707E+004
123,7.596146E-013,6.399205E-009,1.430707E+004
124,7.593925E-013,6.733899E-009,1.430707E+004
125,7.698286E-013,6.593837E-009,1.430707E+004
126,7.696066E-013,6.504706E-009,1.430707E+004
127,7.818191E-013,6.839400E-009,1.430707E+004
128,7.824852E-013,6.592018E-009,1.430707E+004
129,7.933654E-013,6.748451E-009,1.430707E+004
130,8.002488E-013,6.673872E-009,1.430707E+004
131,8.015810E-013,6.724804E-009,1.430707E+004
132,8.055778E-013,6.881237E-009,1.430707E+004
133,8.169021E-013,6.597475E-009,1.430707E+004
134,8.306689E-013,7.017661E-009,1.430707E+004
135,8.262280E-013,6.903065E-009,1.430707E+004
136,8.275602E-013,6.988557E-009,1.430707E+004
137,8.377743E-013,7.177732E-009,1.430707E+004
138,8.482104E-013,7.243216E-009,1.430707E+004
139,8.499867E-013,7.361450E-009,1.430707E+004
140,8.599788E-013,7.259587E-009,1.430707E+004
141,8.624212E-013,7.601557E-009,1.430707E+004
142,8.688605E-013,7.403287E-009,1.430707E+004
143,8.801848E-013,7.426934E-009,1.430707E+004
144,8.797407E-013,7.621566E-009,1.430707E+004
145,8.855139E-013,7.739800E-009,1.430707E+004
146,8.999468E-013,7.476046E-009,1.430707E+004
147,9.088286E-013,7.903509E-009,1.430707E+004
148,9.054979E-013,7.759809E-009,1.430707E+004
149,9.106049E-013,7.576091E-009,1.430707E+004
150,9.130474E-013,7.790732E-009,1.430707E+004
151,9.259260E-013,7.792551E-009,1.430707E+004
152,9.163781E-013,7.799827E-009,1.430707E+004
153,9.510170E-013,8.065399E-009,1.430707E+004
154,9.510170E-013,8.052666E-009,1.430707E+004
155,9.390266E-013,8.023562E-009,1.430707E+004
156,9.605650E-013,8.058123E-009,1.430707E+004
157,9.594547E-013,7.932613E-009,1.430707E+004
158,9.707790E-013,8.609277E-009,1.430707E+004
159,9.801049E-013,8.220013E-009,1.430707E+004
160,9.809931E-013,8.269126E-009,1.430707E+004
161,9.925394E-013,8.509232E-009,1.430707E+004
162,9.896528E-013,8.500137E-009,1.430707E+004
163,9.952039E-013,8.416464E-009,1.430707E+004
164,1.008083E-012,8.529241E-009,1.430707E+004
165,1.006306E-012,8.545612E-009,1.430707E+004
166,1.019407E-012,8.787538E-009,1.430707E+004
167,1.014300E-012,8.547431E-009,1.430707E+004
168,1.022071E-012,8.685674E-009,1.430707E+004
169,1.027178E-012,9.053110E-009,1.430707E+004
170,1.040501E-012,8.829375E-009,1.430707E+004
171,1.043388E-012,8.858478E-009,1.430707E+004
172,1.040279E-012,8.720235E-009,1.430707E+004
173,1.064704E-012,8.718416E-009,1.430707E+004
174,1.057376E-012,9.040377E-009,1.430707E+004
175,1.077138E-012,8.973075E-009,1.430707E+004
176,1.080025E-012,9.069481E-009,1.430707E+004
177,1.082245E-012,9.304131E-009,1.430707E+004
178,1.096456E-012,9.395080E-009,1.430707E+004
179,1.090905E-012,9.451469E-009,1.430707E+004
180,1.096234E-012,9.355063E-009,1.430707E+004
181,1.115108E-012,9.333235E-009,1.430707E+004
182,1.119993E-012,9.405994E-009,1.430707E+004
183,1.122880E-012,9.642463E-009,1.430707E+004
184,1.127098E-012,9.560608E-009,1.430707E+004
185,1.133982E-012,9.520591E-009,1.430707E+004
186,1.136868E-012,9.791620E-009,1.430707E+004
187,1.145528E-012,9.809810E-009,1.430707E+004
188,1.140199E-012,9.669748E-009,1.430707E+004
189,1.159961E-012,9.784344E-009,1.430707E+004
190,1.157963E-012,9.735231E-009,1.430707E+004
191,1.172396E-012,1.013541E-008,1.430707E+004
192,1.171063E-012,1.008812E-008,1.430707E+004
193,1.174838E-012,1.018634E-008,1.430707E+004
194,1.190603E-012,1.023182E-008,1.430707E+004
195,1.191935E-012,1.010449E-008,1.430707E+004
196,1.202372E-012,1.023909E-008,1.430707E+004
197,1.203482E-012,1.029366E-008,1.430707E+004
198,1.209033E-012,1.012995E-008,1.430707E+004
199,1.210365E-012,1.031003E-008,1.430707E+004
200,1.217249E-012,1.040280E-008,1.430707E+004
201,1.231681E-012,1.052103E-008,1.430707E+004
202,1.231903E-012,1.050648E-008,1.430707E+004
203,1.239231E-012,1.044464E-008,1.430707E+004
204,1.252332E-012,1.056287E-008,1.430707E+004
205,1.254996E-012,1.043009E-008,1.430707E+004
206,1.261213E-012,1.078479E-008,1.430707E+004
207,1.259659E-012,1.070657E-008,1.430707E+004
208,1.263878E-012,1.100670E-008,1.430707E+004
209,1.277423E-012,1.066473E-008,1.430707E+004
210,1.285860E-012,1.105764E-008,1.430707E+004
211,1.285860E-012,1.103217E-008,1.430707E+004
212,1.292522E-012,1.111766E-008,1.430707E+004
213,1.294964E-012,1.102308E-008,1.430707E+004
214,1.299627E-012,1.108856E-008,1.430707E+004
215,1.311173E-012,1.143053E-008,1.430707E+004
216,1.311617E-012,1.121225E-008,1.430707E+004
217,1.330713E-012,1.103581E-008,1.430707E+004
218,1.327161E-012,1.146873E-008,1.430707E+004
219,1.340261E-012,1.136141E-008,1.430707E+004
220,1.347589E-012,1.142871E-008,1.430707E+004
