t,residual_l2,residual_max
177,8.282651E-015,1.370934E-014
178,8.326804E-015,1.776357E-014
179,8.284989E-015,1.654875E-014
180,8.294264E-015,1.715357E-014
181,8.307174E-015,1.517720E-014
182,8.285986E-015,1.464821E-014
183,8.304968E-015,1.591922E-014
184,8.299404E-015,1.831027E-014
185,8.296348E-015,1.542371E-014
186,8.318033E-015,1.781346E-014
187,8.282230E-015,1.776357E-014
188,8.272394E-015,1.341304E-014
189,8.258353E-015,1.776357E-014
190,8.270251E-015,1.245233E-014
191,8.286182E-015,1.776357E-014
192,8.304359E-015,1.445850E-014
193,8.298194E-015,1.464821E-014
194,8.316997E-015,1.347289E-014
195,8.272366E-015,1.793070E-014
196,8.246186E-015,1.373270E-014
197,8.266858E-015,1.438328E-014
198,8.278848E-015,1.807721E-014
199,8.298170E-015,1.778576E-014
200,8.283645E-015,1.244243E-014
201,8.310053E-015,1.828871E-014
202,8.288772E-015,1.688123E-014
203,8.271353E-015,1.300668E-014
204,8.279069E-015,1.456721E-014
205,8.280421E-015,1.378868E-014
206,8.248737E-015,1.986027E-014
207,8.275483E-015,1.421085E-014
208,8.315423E-015,1.588822E-014
209,8.285474E-015,1.421259E-014
210,8.278130E-015,1.724531E-014
211,8.302544E-015,1.776357E-014
212,8.249577E-015,1.573579E-014
213,8.290784E-015,1.288624E-014
214,8.286112E-015,1.246618E-014
215,8.281075E-015,1.776357E-014
216,8.290493E-015,1.387379E-014
217,8.284761E-015,1.165258E-014
218,8.299155E-015,1.387379E-014
219,8.270777E-015,1.626997E-014
220,8.276659E-015,1.533234E-014
221,8.292108E-015,1.642717E-014
222,8.324695E-015,1.502579E-014
223,8.282859E-015,1.152548E-014
224,8.293438E-015,1.578431E-014
225,8.287512E-015,1.424594E-014
226,8.278609E-015,1.156245E-014
227,8.298040E-015,1.522352E-014
228,8.280708E-015,1.427317E-014
229,8.306858E-015,1.421259E-014
230,8.289919E-015,1.280949E-014
231,8.294004E-015,1.427317E-014
232,8.291574E-015,1.452357E-014
233,8.302498E-015,1.378824E-014
234,8.301469E-015,1.445850E-014
235,8.280217E-015,1.620774E-014
236,8.304302E-015,1.464821E-014
237,8.319166E-015,1.243450E-014
238,8.290592E-015,1.428396E-014
239,8.283703E-015,1.608560E-014
240,8.279094E-015,1.627613E-014
241,8.289867E-015,1.321597E-014
242,8.293948E-015,1.545086E-014
243,8.286450E-015,1.680659E-014
244,8.276319E-015,1.624572E-014
245,8.269293E-015,1.298973E-014
246,8.304424E-015,1.608560E-014
247,8.252874E-015,1.598721E-014
248,8.288603E-015,1.811536E-014
249,8.313297E-015,2.161031E-014
250,8.291262E-015,1.231697E-014
251,8.288804E-015,1.209888E-014
252,8.284261E-015,1.633085E-014
253,8.274408E-015,1.445850E-014
254,8.277367E-015,1.108556E-014
255,8.290480E-015,1.244243E-014
256,8.293643E-015,1.553678E-014
257,8.270042E-015,1.271678E-014
258,8.309565E-015,1.421779E-014
259,8.304731E-015,1.426323E-014
260,8.281240E-015,1.263949E-014
261,8.281236E-015,1.378824E-014
262,8.291556E-015,1.244243E-014
263,8.311280E-015,1.190387E-014
264,8.285811E-015,1.204170E-014
265,8.283511E-015,1.237338E-014
266,8.275177E-015,1.683590E-014
267,8.286417E-015,1.244243E-014
268,8.298554E-015,1.464821E-014
269,8.284195E-015,1.499235E-014
270,8.298491E-015,1.123467E-014
271,8.276246E-015,1.657376E-014
272,8.290993E-015,1.454689E-014
273,8.299702E-015,1.281719E-014
274,8.286444E-015,1.687576E-014
275,8.266817E-015,1.551137E-014
276,8.292365E-015,1.460872E-014
277,8.295752E-015,1.226281E-014
278,8.290760E-015,1.522709E-014
279,8.321710E-015,1.956010E-014
280,8.284491E-015,1.454689E-014
281,8.304073E-015,1.581990E-014
282,8.297338E-015,1.157244E-014
283,8.286346E-015,1.192767E-014
284,8.336554E-015,1.335225E-014
285,8.308909E-015,1.158043E-014
286,8.304511E-015,1.247090E-014
287,8.302054E-015,1.599338E-014
288,8.283308E-015,1.521654E-014
289,8.308434E-015,1.390219E-014
290,8.300831E-015,1.423858E-014
291,8.305568E-015,1.424594E-014
292,8.310235E-015,1.381193E-014
293,8.300741E-015,1.624688E-014
294,8.304430E-015,1.909874E-014
295,8.312347E-015,1.355746E-014
296,8.271813E-015,1.421085E-014
297,8.294656E-015,1.294627E-014
298,8.273415E-015,1.345708E-014
299,8.273430E-015,1.210601E-014
