t,energy,energy_c0
177,7.254007E+002,7.314820E+002
178,7.254007E+002,7.314811E+002
179,7.254007E+002,7.314809E+002
180,7.254007E+002,7.314813E+002
181,7.254007E+002,7.314820E+002
182,7.254007E+002,7.314830E+002
183,7.254007E+002,7.314846E+002
184,7.254007E+002,7.314870E+002
185,7.254007E+002,7.314901E+002
186,7.254007E+002,7.314930E+002
187,7.254007E+002,7.314949E+002
188,7.254007E+002,7.314957E+002
189,7.254007E+002,7.314954E+002
190,7.254007E+002,7.314942E+002
191,7.254007E+002,7.314922E+002
192,7.254007E+002,7.314898E+002
193,7.254007E+002,7.314875E+002
194,7.254007E+002,7.314854E+002
195,7.254007E+002,7.314832E+002
196,7.254007E+002,7.314809E+002
197,7.254007E+002,7.314781E+002
198,7.254007E+002,7.314741E+002
199,7.254007E+002,7.314693E+002
200,7.254007E+002,7.314640E+002
201,7.254007E+002,7.314586E+002
202,7.254007E+002,7.314534E+002
203,7.254007E+002,7.314482E+002
204,7.254007E+002,7.314429E+002
205,7.254007E+002,7.314374E+002
206,7.254007E+002,7.314317E+002
207,7.254007E+002,7.314259E+002
208,7.254007E+002,7.314201E+002
209,7.254007E+002,7.314144E+002
210,7.254007E+002,7.314086E+002
211,7.254007E+002,7.314026E+002
212,7.254007E+002,7.313965E+002
213,7.254007E+002,7.313908E+002
214,7.254007E+002,7.313857E+002
215,7.254007E+002,7.313810E+002
216,7.254007E+002,7.313765E+002
217,7.254007E+002,7.313720E+002
218,7.254007E+002,7.313672E+002
219,7.254007E+002,7.313623E+002
220,7.254007E+002,7.313574E+002
221,7.254007E+002,7.313527E+002
222,7.254007E+002,7.313483E+002
223,7.254007E+002,7.313443E+002
224,7.254007E+002,7.313410E+002
225,7.254007E+002,7.313381E+002
226,7.254007E+002,7.313358E+002
227,7.254007E+002,7.313345E+002
228,7.254007E+002,7.313341E+002
229,7.254007E+002,7.313344E+002
230,7.254007E+002,7.313349E+002
231,7.254007E+002,7.313350E+002
232,7.254007E+002,7.313350E+002
233,7.254007E+002,7.313347E+002
234,7.254007E+002,7.313340E+002
235,7.254007E+002,7.313331E+002
236,7.254007E+002,7.313316E+002
237,7.254007E+002,7.313292E+002
238,7.254007E+002,7.313265E+002
239,7.254007E+002,7.313240E+002
240,7.254007E+002,7.313216E+002
241,7.254007E+002,7.313191E+002
242,7.254007E+002,7.313172E+002
243,7.254007E+002,7.313161E+002
244,7.254007E+002,7.313158E+002
245,7.254007E+002,7.313161E+002
246,7.254007E+002,7.313165E+002
247,7.254007E+002,7.313165E+002
248,7.254007E+002,7.313157E+002
249,7.254007E+002,7.313142E+002
250,7.254007E+002,7.313124E+002
251,7.254007E+002,7.313112E+002
252,7.254007E+002,7.313108E+002
253,7.254007E+002,7.313109E+002
254,7.254007E+002,7.313115E+002
255,7.254007E+002,7.313124E+002
256,7.254007E+002,7.313132E+002
257,7.254007E+002,7.313139E+002
258,7.254007E+002,7.313146E+002
259,7.254007E+002,7.313150E+002
260,7.254007E+002,7.313146E+002
261,7.254007E+002,7.313137E+002
262,7.254007E+002,7.313125E+002
263,7.254007E+002,7.313113E+002
264,7.254007E+002,7.313102E+002
265,7.254007E+002,7.313093E+002
266,7.254007E+002,7.313083E+002
267,7.254007E+002,7.313070E+002
268,7.254007E+002,7.313055E+002
269,7.254007E+002,7.313038E+002
270,7.254007E+002,7.313020E+002
271,7.254007E+002,7.313001E+002
272,7.254007E+002,7.312984E+002
273,7.254007E+002,7.312969E+002
274,7.254007E+002,7.312954E+002
275,7.254007E+002,7.312934E+002
276,7.254007E+002,7.312912E+002
277,7.254007E+002,7.312891E+002
278,7.254007E+002,7.312872E+002
279,7.254007E+002,7.312851E+002
280,7.254007E+002,7.312825E+002
281,7.254007E+002,7.312796E+002
282,7.254007E+002,7.312769E+002
283,7.254007E+002,7.312743E+002
284,7.254007E+002,7.312721E+002
285,7.254007E+002,7.312702E+002
286,7.254007E+002,7.312685E+002
287,7.254007E+002,7.312665E+002
288,7.254007E+002,7.312644E+002
289,7.254007E+002,7.312623E+002
290,7.254007E+002,7.312606E+002
291,7.254007E+002,7.312595E+002
292,7.254007E+002,7.312587E+002
293,7.254007E+002,7.312581E+002
294,7.254007E+002,7.312577E+002
295,7.254007E+002,7.312573E+002
296,7.254007E+002,7.312571E+002
297,7.254007E+002,7.312571E+002
298,7.254007E+002,7.312575E+002
299,7.254007E+002,7.312577E+002
