t,norm_err,energy_err,energy
122,9.170442E-014,3.944933E-011,7.254007E+002
123,7.327472E-014,6.730261E-011,7.254007E+002
124,8.926193E-014,6.377832E-011,7.254007E+002
125,8.570922E-014,5.979928E-011,7.254007E+002
126,8.459899E-014,6.389200E-011,7.254007E+002
127,8.237855E-014,6.923528E-011,7.254007E+002
128,8.237855E-014,6.923528E-011,7.254007E+002
129,9.459100E-014,6.923528E-011,7.254007E+002
130,8.815171E-014,5.866241E-011,7.254007E+002
131,8.482104E-014,6.468781E-011,7.254007E+002
132,8.770762E-014,5.127276E-011,7.254007E+002
133,9.281464E-014,7.878498E-011,7.254007E+002
134,8.260059E-014,7.150902E-011,7.254007E+002
135,9.214851E-014,7.094059E-011,7.254007E+002
136,1.010303E-013,4.627054E-011,7.254007E+002
137,1.019185E-013,8.515144E-011,7.254007E+002
138,9.459100E-014,6.059508E-011,7.254007E+002
139,9.925394E-014,7.810286E-011,7.254007E+002
140,1.032507E-013,9.276846E-011,7.254007E+002
141,7.971401E-014,6.320988E-011,7.254007E+002
142,1.003642E-013,4.752110E-011,7.254007E+002
143,1.028067E-013,6.775736E-011,7.254007E+002
144,1.030287E-013,8.708412E-011,7.254007E+002
145,9.525714E-014,7.707968E-011,7.254007E+002
146,1.010303E-013,7.742074E-011,7.254007E+002
147,1.019185E-013,7.901235E-011,7.254007E+002
148,1.021405E-013,7.139533E-011,7.254007E+002
149,1.001421E-013,7.332801E-011,7.254007E+002
150,1.094680E-013,9.185896E-011,7.254007E+002
151,1.048051E-013,7.173639E-011,7.254007E+002
152,1.008083E-013,8.662937E-011,7.254007E+002
153,9.880985E-014,8.310508E-011,7.254007E+002
154,1.032507E-013,6.173195E-011,7.254007E+002
155,1.036948E-013,9.720225E-011,7.254007E+002
156,1.156852E-013,8.719780E-011,7.254007E+002
157,1.112443E-013,8.265033E-011,7.254007E+002
158,1.045830E-013,8.321877E-011,7.254007E+002
159,1.216804E-013,7.196377E-011,7.254007E+002
160,1.036948E-013,8.310508E-011,7.254007E+002
161,1.061373E-013,8.265033E-011,7.254007E+002
162,1.036948E-013,8.742518E-011,7.254007E+002
163,1.021405E-013,8.708412E-011,7.254007E+002
164,1.101341E-013,8.287770E-011,7.254007E+002
165,1.265654E-013,8.685674E-011,7.254007E+002
166,1.183498E-013,9.015366E-011,7.254007E+002
167,1.110223E-013,8.435563E-011,7.254007E+002
168,1.156852E-013,8.731149E-011,7.254007E+002
169,1.192380E-013,8.697043E-011,7.254007E+002
170,1.205702E-013,1.181206E-010,7.254007E+002
171,1.108003E-013,8.606094E-011,7.254007E+002
172,1.141309E-013,8.128609E-011,7.254007E+002
173,1.263434E-013,7.378276E-011,7.254007E+002
174,1.092459E-013,8.924417E-011,7.254007E+002
175,1.114664E-013,9.595169E-011,7.254007E+002
176,1.074696E-013,7.855760E-011,7.254007E+002
177,1.274536E-013,8.628831E-011,7.254007E+002
178,1.265654E-013,5.422862E-011,7.254007E+002
179,1.252332E-013,1.044782E-010,7.254007E+002
180,1.212364E-013,1.073204E-010,7.254007E+002
181,1.181277E-013,1.026592E-010,7.254007E+002
182,1.154632E-013,8.833467E-011,7.254007E+002
183,1.174616E-013,5.491074E-011,7.254007E+002
184,1.247891E-013,8.401457E-011,7.254007E+002
185,1.236788E-013,1.018634E-010,7.254007E+002
186,1.183498E-013,1.095941E-010,7.254007E+002
187,1.367795E-013,1.019771E-010,7.254007E+002
188,1.225686E-013,1.097078E-010,7.254007E+002
189,1.227907E-013,1.033413E-010,7.254007E+002
190,1.254552E-013,1.225544E-010,7.254007E+002
191,1.214584E-013,8.287770E-011,7.254007E+002
192,1.283418E-013,1.114131E-010,7.254007E+002
193,1.350031E-013,9.742962E-011,7.254007E+002
194,1.352252E-013,9.436008E-011,7.254007E+002
195,1.338929E-013,9.765699E-011,7.254007E+002
196,1.383338E-013,1.194849E-010,7.254007E+002
197,1.383338E-013,1.017497E-010,7.254007E+002
198,1.292300E-013,1.060698E-010,7.254007E+002
199,1.367795E-013,9.595169E-011,7.254007E+002
200,1.294520E-013,1.049330E-010,7.254007E+002
201,1.281197E-013,1.133458E-010,7.254007E+002
202,1.405542E-013,9.742962E-011,7.254007E+002
203,1.363354E-013,1.087983E-010,7.254007E+002
204,1.398881E-013,1.057288E-010,7.254007E+002
205,1.378897E-013,9.913492E-011,7.254007E+002
206,1.367795E-013,1.203944E-010,7.254007E+002
207,1.381117E-013,1.044782E-010,7.254007E+002
208,1.412204E-013,1.159606E-010,7.254007E+002
209,1.416645E-013,1.001581E-010,7.254007E+002
210,1.449951E-013,1.328999E-010,7.254007E+002
211,1.398881E-013,1.160743E-010,7.254007E+002
212,1.370015E-013,1.030003E-010,7.254007E+002
213,1.427747E-013,1.159606E-010,7.254007E+002
214,1.432188E-013,1.177796E-010,7.254007E+002
215,1.461054E-013,1.085709E-010,7.254007E+002
216,1.492140E-013,1.066383E-010,7.254007E+002
217,1.516565E-013,9.606538E-011,7.254007E+002
218,1.347811E-013,1.220997E-010,7.254007E+002
219,1.536549E-013,1.017497E-010,7.254007E+002
220,1.456613E-013,1.290346E-010,7.254007E+002
221,1.438849E-013,1.365379E-010,7.254007E+002
222,1.494360E-013,1.007265E-010,7.254007E+002
223,1.578737E-013,1.110720E-010,7.254007E+002
224,1.560974E-013,1.115268E-010,7.254007E+002
225,1.558753E-013,1.211902E-010,7.254007E+002
226,1.587619E-013,1.231228E-010,7.254007E+002
227,1.498801E-013,1.462013E-010,7.254007E+002
228,1.534328E-013,1.331273E-010,7.254007E+002
229,1.525446E-013,1.185754E-010,7.254007E+002
230,1.514344E-013,1.251692E-010,7.254007E+002
