t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
62,1.000000E+000,1.000000E+000,2.176037E-014,7.254007E+002,4.001777E-011,4.001777E-011
63,1.000000E+000,1.000000E+000,2.131628E-014,7.254007E+002,3.751666E-011,3.751666E-011
64,1.000000E+000,1.000000E+000,-2.797762E-014,7.254007E+002,4.490630E-011,4.490630E-011
65,1.000000E+000,1.000000E+000,2.042810E-014,7.254007E+002,3.080913E-011,3.080913E-011
66,1.000000E+000,1.000000E+000,-3.552714E-015,7.254007E+002,3.274181E-011,3.274181E-011
67,1.000000E+000,1.000000E+000,-1.465494E-014,7.254007E+002,3.205969E-011,3.205969E-011
68,1.000000E+000,1.000000E+000,-1.332268E-014,7.254007E+002,2.967226E-011,2.967226E-011
69,1.000000E+000,1.000000E+000,2.708944E-014,7.254007E+002,2.739853E-011,2.739853E-011
70,1.000000E+000,1.000000E+000,-5.329071E-015,7.254007E+002,6.787104E-011,6.787104E-011
71,1.000000E+000,1.000000E+000,1.376677E-014,7.254007E+002,3.433342E-011,3.433342E-011
72,1.000000E+000,1.000000E+000,-7.993606E-015,7.254007E+002,5.263701E-011,5.263701E-011
73,1.000000E+000,1.000000E+000,1.332268E-014,7.254007E+002,2.944489E-011,2.944489E-011
74,1.000000E+000,1.000000E+000,0.000000E+000,7.254007E+002,3.558398E-011,3.558398E-011
75,1.000000E+000,1.000000E+000,-1.643130E-014,7.254007E+002,4.047251E-011,4.047251E-011
76,1.000000E+000,1.000000E+000,3.508305E-014,7.254007E+002,4.740741E-011,4.740741E-011
77,1.000000E+000,1.000000E+000,-1.820766E-014,7.254007E+002,3.694822E-011,3.694822E-011
78,1.000000E+000,1.000000E+000,6.217249E-015,7.254007E+002,4.422418E-011,4.422418E-011
79,1.000000E+000,1.000000E+000,5.329071E-015,7.254007E+002,3.637979E-011,3.637979E-011
80,1.000000E+000,1.000000E+000,-1.243450E-014,7.254007E+002,4.649792E-011,4.649792E-011
81,1.000000E+000,1.000000E+000,3.996803E-015,7.254007E+002,3.399236E-011,3.399236E-011
82,1.000000E+000,1.000000E+000,7.549517E-015,7.254007E+002,4.865797E-011,4.865797E-011
83,1.000000E+000,1.000000E+000,-2.797762E-014,7.254007E+002,4.217782E-011,4.217782E-011
84,1.000000E+000,1.000000E+000,1.465494E-014,7.254007E+002,4.274625E-011,4.274625E-011
85,1.000000E+000,1.000000E+000,-8.881784E-016,7.254007E+002,3.331024E-011,3.331024E-011
86,1.000000E+000,1.000000E+000,-1.021405E-014,7.254007E+002,4.536105E-011,4.536105E-011
87,1.000000E+000,1.000000E+000,3.375078E-014,7.254007E+002,3.115019E-011,3.115019E-011
88,1.000000E+000,1.000000E+000,2.220446E-014,7.254007E+002,4.126832E-011,4.126832E-011
