metric,c1,c2,delta_c2_minus_c1
centroid_mean_distance,0.773037570899785,0.796596534040768,0.023558963140983047
norm_max_abs,0.0,0.0,0.0
norm_rms,0.0,0.0,0.0
energy_drift_max_abs,1.5323166735470295e-08,1.54741428559646e-08,1.509761204943061e-10
energy_drift_rms,8.685066105494862e-09,8.993802750963993e-09,3.087366454691307e-10
energy_drift_max_relative,6.646533585595232e-13,1.081573480263976e-12,4.1692012170445284e-13
