step,mahalanobis,tau_alpha,zone,fuzzy_membership,zone_a_count,zone_b_count,zone_c_count
0,5.8079432403932749,1.4889447210876388,C,4.7330906435604453E-08,0,0,1
1,1.3611883411408123,1.4889447210876388,B,0.39596999134580885,0,1,1
2,0.94710994471269605,1.4889447210876388,A,0.6385798046036727,1,1,1
3,1.4542042917428377,1.4889447210876388,B,0.34737337771315013,1,2,1
