turn_id,x,y,distance_to_identity,angle_from_identity
0,0.00000000,1.00000000,0.86230435,2.44307993
1,0.28726480,0.09756255,0.51013103,-2.39110452
2,0.33931615,0.00000000,0.54909698,-2.19525953
3,0.69793764,0.35662352,0.09646929,-1.17058799
4,0.91898177,0.53118222,0.27246260,0.32001858
5,0.94772120,0.51302815,0.29520343,0.23089982
6,1.00000000,0.58770597,0.36822785,0.39658666
7,0.88140787,0.45058554,0.22111484,0.02313821
8,0.87054052,0.47254020,0.21192435,0.12808612
