turn_id,x,y,distance_to_identity,angle_from_identity
0,0.37528911,0.21138545,0.36885831,-2.45407775
1,0.51180129,0.21396286,0.27506879,-2.14129296
2,0.60487962,0.21078755,0.24114926,-1.80290924
3,0.41031246,0.33000287,0.27541331,-2.70897402
4,0.49994798,0.27342814,0.23521873,-2.32120333
5,0.26316167,0.26229896,0.43739214,-2.70949185
6,0.35187562,0.40249945,0.31145507,-3.00318474
