step,mahalanobis,tau_alpha,zone,fuzzy_membership,zone_a_count,zone_b_count,zone_c_count
0,0.46729419595016719,1.3959571734582485,A,0.89656728767634397,1,0,0
1,0.14131537710672082,1.3959571734582485,A,0.99006466688252426,2,0,0
2,0.099234122576619038,1.3959571734582485,A,0.99508839602668875,3,0,0
3,0.33208295052117426,1.3959571734582485,A,0.94635308177844735,4,0,0
